Index,Model,Analysis Type,Restriction,RiskType,BMRF,BMD,BMDL,BMDU,P Value,AIC,Unnormalized Log Posterior Probability,Scaled Residual for Dose Group near BMD,Scaled Residual for Control Dose Group,BMDS Recommendation
210,Log-Probit,frequentist,Unrestricted,Extra Risk,0.1,43.56541591,5.957485563,55.43837683,0.169997028,198.8924633,-,-5.07E-06,-0.560201633,Viable - Recommended
211,Log-Logistic,frequentist,Restricted,Extra Risk,0.1,194.938095,114.3042532,429.2753907,0.495500532,116.0453934,-,0.566765986,-0.211402744,Viable - Recommended
212,Log-Logistic,frequentist,Restricted,Extra Risk,0.1,181.0580972,84.59237111,939.5174387,0.883194047,88.82163376,-,0.122666718,-6.30E-02,Viable - Recommended
213,Weibull,frequentist,Unrestricted,Extra Risk,0.1,9.53E-06,5.41E-07,6.76E-05,0.745142908,260.502349,-,-0.140277982,-0.117496345,Viable - Recommended
214,Multistage Degree 2,frequentist,Restricted,Extra Risk,0.1,191.1523221,144.9929841,353.3010894,0.932216175,124.0380436,-,-5.52E-04,-5.52E-04,Viable - Recommended
215,Log-Logistic,frequentist,Unrestricted,Extra Risk,0.1,503.8481262,59.5643696,704.7081862,0.99958221,93.38340023,-,-4.08E-06,-5.24E-04,Viable - Recommended
216,Log-Logistic,frequentist,Restricted,Extra Risk,0.1,744.7388564,410.3597924,Infinity,0.848800489,52.20395723,-,-0.334428893,-3.90E-04,Viable - Recommended
217,Dichotomous Hill,frequentist,Restricted,Extra Risk,0.1,77.54354386,57.44115267,Infinity,4.28E-04,29.02251121,-,-0.107472429,-3.90E-04,Questionable
218,Log-Probit,frequentist,Restricted,Extra Risk,0.1,401.350689,293.39669,602.7969465,0.816579359,47.51931816,-,-0.365991951,-8.64E-04,Viable - Recommended
219,Dichotomous Hill,frequentist,Restricted,Extra Risk,0.1,173.5373249,112.1988194,193.6190057,0.999824552,106.2290885,-,6.49E-04,-8.64E-04,Viable - Recommended
220,Multistage Degree 2,frequentist,Unrestricted,Extra Risk,0.1,187.0152766,154.2877826,203.7211148,0.99999961,88.11076511,-,7.95E-05,-8.64E-04,Viable - Recommended
221,Multistage Degree 3,frequentist,Unrestricted,Extra Risk,0.1,66.06104873,55.6312712,104.0652787,0.723587006,22.99084881,-,0,0,Viable - Recommended
222,Logistic,frequentist,Unrestricted,Extra Risk,0.1,74.3856249,55.59342508,99.92934196,0.286448294,104.0708239,-,-0.454603229,-0.454603229,Viable - Recommended
223,Multistage Degree 1,frequentist,Unrestricted,Extra Risk,0.1,3276.8,3179.924632,Infinity,<0.0001,71.16915219,-,-4.65E-04,-2.012230676,Questionable
224,Multistage Degree 3,frequentist,Unrestricted,Extra Risk,0.1,13.34719048,12.7848798,14.75066736,NA,72.17877019,-,5.15E-08,2.06E-08,Questionable
225,Probit,frequentist,Unrestricted,Extra Risk,0.1,384.882851,306.5726671,468.7909364,0.484598455,76.88740792,-,0.770509015,-0.45795015,Viable - Recommended
