Study_Index,Dose,Number,Effect
119,0,50,17
119,214,49,22
119,428,50,40
120,0,49,13
120,1.4,48,14
120,4.3,48,15
120,13,49,26
121,0,18,3
121,55.5,17,8
121,111,18,9
122,0,10,0
122,15.1,9,0
122,31.9,10,1
122,76.1,12,7
123,0,10,0
123,27.1,9,0
123,55.7,10,2
123,108.6,12,9
124,0,40,0
124,27.14285714,50,45
124,29.28571429,50,33
125,0,13,0
125,7.8,50,45
125,8.4,34,33
126,0,13,0
126,7.8,29,5
126,8.4,23,8
127,0,13,0
127,7.8,42,11
127,8.4,23,4
128,0,60,1
128,33.57142857,50,9
128,67.85714286,50,7
129,0,40,0
129,4.46,48,9
129,8.23,27,7
130,0,100,6
130,0.02,98,6
130,1.36,98,36
131,0,200,5
131,0.02,100,4
131,0.04,100,5
131,0.14,100,7
131,0.43,100,20
131,1.39,100,36
132,0,80,4
132,0.58,47,18
132,1.46,48,36
132,3.62,48,45
133,0,50,13
133,68.8,50,23
133,137.5,50,27
134,0,50,5
134,27,50,22
134,56,50,23
135,0,50,2
135,8.8,50,5
135,17.7,50,25
136,0,36,0
136,276.3157895,41,18
136,544.7368421,45,18
137,0,50,9
137,672,48,14
137,1325,50,19
138,0,49,2
138,0.02556213,49,4
138,0.127810651,50,4
138,0.639053254,49,5
138,3.195266272,49,17
139,0,40,0
139,4,30,14
139,8,30,26
139,16,57,49
140,0,52,0
140,5.99112426,56,36
140,11.98224852,55,48
141,0,52,0
141,0.73,56,36
141,1.46,55,48
142,0,54,0
142,0.065,54,0
142,0.325,55,0
142,1.623,55,1
142,8.117,55,17
143,0,60,1
143,2,45,25
143,5.1,74,70
143,9.6,59,58
144,0,50,0
144,281,50,42
144,563,50,42
145,0,49,8
145,3.19,50,5
145,15.2,50,27
145,74.9,50,50
146,0,31,11
146,0.71,43,13
146,3.9,35,18
146,34,43,34
147,0,65,1
147,0.13,62,5
147,0.58,64,9
147,2.9,64,12
147,8.3,31,6
148,0,95,6
148,4,49,13
148,15,49,37
149,0,55,9
149,17.85714286,55,15
149,35.71428571,55,22
150,0,23,0
150,0.36,27,9
150,3,23,1
151,0,50,0
151,380,48,21
151,860,37,35
152,0,50,5
152,66,50,35
152,278,50,41
152,964,50,46
153,0,50,6
153,36,49,10
153,71,50,19
154,0,50,6
154,35.71,49,10
154,71.43,50,19
155,0,53,0
155,3.947368421,54,26
155,7.894736842,54,29
156,0,50,0
156,2.62,50,0
156,9.56,49,2
156,42.13,49,30
157,0,48,3
157,102.9490617,49,10
157,205.8981233,49,34
158,0,48,0
158,102.9490617,49,1
158,205.8981233,49,3
159,0,20,0
159,98.68421053,20,0
159,197.3684211,20,0
159,394.7368421,21,1
159,789.4736842,21,7
159,1578.947368,21,20
159,3157.894737,20,17
160,0,104,1
160,7.4,80,2
160,40.2,80,8
160,102.6,80,41
161,0,104,0
161,7.6,80,1
161,41.2,80,8
161,102.7,80,41
162,0,15,2
162,687.7729258,49,8
162,1375.545852,46,22
163,0,15,0
163,98.25327511,33,31
163,196.5065502,32,23
164,0,22,0
164,38.72282609,20,0
164,116.1684783,21,2
164,387.2282609,20,6
165,0,193,0
165,7.763157895,93,0
165,15.52631579,100,0
165,31.05263158,90,7
166,0,180,0
166,7.744565217,93,0
166,15.48913043,90,0
166,30.97826087,96,2
167,0,193,2
167,0.78,93,2
167,1.57,100,3
167,3.14,90,20
168,0,50,1
168,70.7,50,18
168,141.5,50,36
169,0,19,6
169,3.431635389,48,39
169,3.946380697,49,43
170,0,20,0
170,74.3,50,10
170,149,50,19
171,0,48,12
171,42.9,35,31
171,85.7,43,40
172,0,48,10
172,42.9,35,9
172,85.7,35,19
173,0,49,2
173,42.9,39,11
173,85.7,48,13
174,0,24,0
174,0.552631579,24,0
174,1.184210526,24,3
174,2.368421053,24,5
175,0,20,3
175,0.04,49,16
175,0.08,45,25
176,0,20,3
176,0.04,49,16
176,0.08,45,25
177,0,20,3
177,0.04,49,16
177,0.08,45,25
178,0,20,0
178,0.012,20,0
178,0.035,38,30
178,0.06,20,20
179,0,50,3
179,79.2,50,19
179,159,50,20
180,0,19,4
180,725.9624665,48,32
180,1346.230563,45,22
181,0,20,0
181,552.9745042,49,11
181,1020.929178,50,13
182,0,20,0
182,107,50,7
182,214,49,13
183,0,16,0
183,16,40,7
183,32,37,13
184,0,50,0
184,71,47,40
184,143,43,36
185,0,50,0
185,71,47,1
185,143,43,3
186,0,49,2
186,0.65,50,4
186,3.22,50,6
186,6.31,49,10
187,0,50,0
187,2.88,50,8
187,5.81,47,21
188,0,49,1
188,2.74,48,6
188,5.4,50,8
189,0,49,3
189,71.42857143,49,24
189,142.8571429,49,36
190,0,49,3
190,149,50,19
190,407,49,37
191,0,50,0
191,70.7,50,0
191,142,50,6
192,0,99,0
192,110.0436681,49,27
192,220.0873362,47,35
193,4,16,14
193,8,16,15
193,15,15,15
193,30,1,1
194,0,49,5
194,14.8,46,13
194,27.6,48,30
195,0,16,2
195,669,18,10
195,1337,16,12
196,0,50,10
196,357,50,11
196,714,50,17
197,0,61,0
197,0.051,60,3
197,0.17,62,17
197,0.51,38,31
197,1.7,24,14
198,0,61,0
198,0.051,60,3
198,0.17,62,17
198,0.51,38,31
198,1.7,24,14
199,0,62,0
199,0.01,68,2
199,0.052,68,18
199,0.1,80,52
200,0,76,6
200,0.01,70,1
200,0.052,65,6
200,0.1,57,30
201,0,62,0
201,0.01,68,2
201,0.052,68,18
201,0.1,80,52
202,0,76,6
202,0.01,70,1
202,0.052,65,6
202,0.1,57,30
203,0,20,1
203,0.15,39,10
203,0.34,20,14
204,0,20,1
204,0.15,39,10
204,0.34,20,14
205,0,6,0
205,8,26,12
205,16,26,16
206,0,50,2
206,305,50,8
206,608,49,15
207,0,84,1
207,0.35,45,19
207,0.76,49,28
207,1.59,49,28
208,0,85,1
208,0.75,49,11
208,1.53,45,15
209,0,85,1
209,0.72,48,1
209,1.43,45,7
209,2.99,50,6
210,0,60,5
210,5.1,60,5
210,21.9,60,9
210,46.5,60,17
211,0,58,2
211,142.8571429,51,7
211,571.4285714,47,12
212,0,26,3
212,142.8571429,25,5
212,571.4285714,32,11
213,0,73,15
213,1.43E-06,49,12
213,7.14E-06,49,13
213,7.14E-05,50,27
214,0,20,0
214,514.7453083,49,13
214,1029.490617,48,20
215,0,18,0
215,518.4135977,48,5
215,1036.827195,50,13
216,0,10,0
216,354.6070039,46,3
216,709.2140078,49,4
217,15,10,0
217,29.60526316,10,0
217,59.21052632,10,0
217,118.4210526,9,9
217,236.8421053,9,0
218,0,49,0
218,98.68421053,50,0
218,197.3684211,50,2
218,394.7368421,49,4
219,0,49,0
219,98.68421053,50,0
219,197.3684211,50,10
219,394.7368421,49,11
220,0,49,0
220,98.68421053,50,0
220,197.3684211,50,7
220,394.7368421,49,41
221,15,10,0
221,29.60526316,10,0
221,59.21052632,10,0
221,118.4210526,10,8
221,236.8421053,9,1
222,0,50,3
222,259.2067989,48,33
222,518.4135977,49,47
223,0,70,1
223,3,38,8
223,6.4,27,0
223,12.8,31,0
224,0,70,1
224,3,38,7
224,6.4,27,1
224,12.8,31,1
225,0,30,0
225,105.6338028,30,1
225,211.2676056,29,0
225,422.5352113,28,5
225,845.0704225,25,14
226,0,26,0
226,0.17,22,3
226,0.45,28,7
226,1.1,22,10
226,2.75,29,15
226,6.88,29,2
227,0,94,1
227,63.15789474,42,12
227,157.8947368,48,22
228,0,53,10
228,0.051,54,10
228,0.144,53,12
228,0.361,51,18
229,0,11,0
229,0.007300885,27,0
229,0.07300885,29,1
229,0.730088496,26,5
230,0,17,0
230,0.365044248,13,11
230,0.730088496,13,12
231,0,9,0
231,0.411255411,9,8
231,0.822510823,10,10
231,4.112554113,3,3
232,0,10,0
232,0.231910946,10,4
232,0.463821892,9,5
232,2.319109462,9,9
233,0,33,3
233,0.1022,55,5
233,0.5137,52,41
233,1.0273,39,32
234,0,45,0
234,0.1022,61,0
234,0.5137,50,32
234,1.0273,37,26
235,0,71,3
235,0.0216,71,3
235,0.1079,72,7
235,0.2698,72,9
236,0,92,17
236,0.65187,48,16
236,1.1511,49,43
237,0,78,3
237,0.6187,47,3
237,1.3093,49,33
238,0,50,0
238,54.8,50,0
238,109.6,50,0
238,230.4,50,0
238,427.6,50,10
238,1322.6,50,50
239,0,50,0
239,54.8,50,0
239,109.6,50,0
239,230.4,50,0
239,427.6,50,0
239,1322.6,50,11
240,0,50,3
240,21.42857143,50,6
240,42.85714286,50,12
241,0,62,1
241,0.63,61,3
241,3.33,62,0
241,13.3,61,15
242,0,20,0
242,0.00247,21,2
242,0.00741,21,0
242,0.02471,11,2
242,0.07413,19,7
242,0.24711,20,16
243,0,36,0
243,5.7,40,0
243,11.4,38,1
243,22.9,34,3
244,0,36,0
244,5.7,40,4
244,11.4,38,12
244,22.9,34,24
245,0,36,0
245,5.7,40,4
245,11.4,38,15
245,22.9,34,23
246,0,36,0
246,5.7,40,1
246,11.4,38,9
246,22.9,34,19
247,0,36,0
247,5.7,40,0
247,11.4,38,0
247,22.9,34,3
248,0,36,0
248,5.7,40,1
248,11.4,38,1
248,22.9,34,3
249,0,45,4
249,5,65,10
249,20,65,25
249,100,65,62
250,0,45,4
250,5,65,10
250,20,65,25
250,100,65,62
251,0,80,6
251,0.025,80,3
251,0.05,80,11
251,0.25,30,12
252,0,80,6
252,0.025,80,9
252,0.05,80,20
252,0.25,30,27
253,0,80,0
253,0.025,80,1
253,0.05,80,2
253,0.25,30,5
254,0,80,1
254,0.025,80,5
254,0.05,80,9
254,0.25,30,2
255,0,92,37
255,0.88,48,21
255,3.66,44,28
255,14.63,49,44
256,0,73,5
256,0.88,39,6
256,3.66,42,11
256,14.63,44,39
257,0,127,30
257,0.01,63,26
257,0.06,64,17
257,1.3,64,27
257,5.6,64,42
258,0,40,0
258,13,36,4
258,52,38,27
259,0,40,0
259,13,36,19
259,52,38,34
260,0,50,5
260,0.4,50,2
260,1.3,50,7
260,5,50,14
261,0,50,5
261,0.6,50,10
261,1.9,50,12
261,6.6,50,16
262,0,50,0
262,0.4,50,1
262,1.3,50,3
262,5,50,5
263,0,50,2
263,0.6,50,2
263,1.9,50,4
263,6.6,50,10
264,0,50,1
264,0.6,50,4
264,1.9,50,10
264,6.6,50,34
265,0,50,3
265,0.6,50,2
265,1.9,50,9
265,6.6,50,13
266,0,49,2
266,0.4,50,20
266,1.3,50,38
266,5,49,44
