"Study_Index","Dose","Number","Effect"
158,30.97826087,96,2
159,0,193,2
159,0.78,93,2
159,1.57,100,3
159,3.14,90,20
160,0,50,1
160,70.7,50,18
160,141.5,50,36
161,0,19,6
161,3.431635389,48,39
161,3.946380697,49,43
162,0,20,0
162,74.3,50,10
162,149,50,19
163,0,48,12
163,42.9,35,31
163,85.7,43,40
164,0,48,10
164,42.9,35,9
164,85.7,35,19
165,0,49,2
165,42.9,39,11
165,85.7,48,13
166,0,24,0
166,0.552631579,24,0
166,1.184210526,24,3
166,2.368421053,24,5
167,0,20,3
167,0.04,49,16
167,0.08,45,25
168,0,20,0
168,0.012,20,0
168,0.035,38,30
168,0.06,20,20
169,0,50,3
169,79.2,50,19
169,159,50,20
170,0,19,4
170,725.9624665,48,32
170,1346.230563,45,22
171,0,20,0
171,552.9745042,49,11
171,1020.929178,50,13
172,0,20,0
172,107,50,7
172,214,49,13
173,0,16,0
173,16,40,7
173,32,37,13
174,0,50,0
174,71,47,40
174,143,43,36
175,0,50,0
175,71,47,1
175,143,43,3
176,0,49,2
176,0.65,50,4
176,3.22,50,6
176,6.31,49,10
177,0,50,0
177,2.88,50,8
177,5.81,47,21
178,0,49,1
178,2.74,48,6
178,5.4,50,8
179,0,49,3
179,71.42857143,49,24
179,142.8571429,49,36
180,0,49,3
180,149,50,19
180,407,49,37
181,0,50,0
181,70.7,50,0
181,142,50,6
182,0,99,0
182,110.0436681,49,27
182,220.0873362,47,35
183,0,49,5
183,14.8,46,13
183,27.6,48,30
184,0,16,2
184,669,18,10
184,1337,16,12
185,0,50,10
185,357,50,11
185,714,50,17
186,0,61,0
186,0.051,60,3
186,0.17,62,17
186,0.51,38,31
186,1.7,24,14
187,0,62,0
187,0.01,68,2
187,0.052,68,18
187,0.1,80,52
188,0,76,6
188,0.01,70,1
188,0.052,65,6
188,0.1,57,30
189,0,20,1
189,0.15,39,10
189,0.34,20,14
190,0,6,0
190,8,26,12
190,16,26,16
191,0,50,2
191,305,50,8
191,608,49,15
192,0,84,1
192,0.35,45,19
192,0.76,49,28
192,1.59,49,28
193,0,85,1
193,0.75,49,11
193,1.53,45,15
194,0,85,1
194,0.72,48,1
194,1.43,45,7
194,2.99,50,6
195,0,60,5
195,5.1,60,5
195,21.9,60,9
195,46.5,60,17
196,0,58,2
196,142.8571429,51,7
196,571.4285714,47,12
197,0,26,3
197,142.8571429,25,5
197,571.4285714,32,11
198,0,73,15
198,1.42857e-06,49,12
198,7.14286e-06,49,13
198,7.14286e-05,50,27
199,0,20,0
199,514.7453083,49,13
199,1029.490617,48,20
200,0,18,0
200,518.4135977,48,5
200,1036.827195,50,13
201,0,10,0
201,354.6070039,46,3
201,709.2140078,49,4
202,0,10,0
202,15,10,0
202,29.60526316,10,0
202,59.21052632,10,0
202,118.4210526,9,9
202,236.8421053,9,0
203,0,49,0
203,98.68421053,50,0
203,197.3684211,50,2
203,394.7368421,49,4
204,0,49,0
204,98.68421053,50,0
204,197.3684211,50,10
204,394.7368421,49,11
205,0,49,0
205,98.68421053,50,0
205,197.3684211,50,7
205,394.7368421,49,41
206,0,10,0
206,15,10,0
206,29.60526316,10,0
206,59.21052632,10,0
206,118.4210526,10,8
206,236.8421053,9,1
207,0,50,3
207,259.2067989,48,33
207,518.4135977,49,47
208,0,70,1
208,3,38,8
208,6.4,27,0
208,12.8,31,0
209,0,70,1
209,3,38,7
209,6.4,27,1
