Dataset,RSD.log10sd,RSD.log10mad,RSD.log10iqr,RSD.log10ci90,RSD.log10ci95,Model,sigmaH,DAF,AHU,Residuals
86,1.6272046513563,1.11770033060365,2.05020343828329,5.34059135092859,5.79017838631986,0.780930100038719,0.0258274798245216,0.000608452623002219,0.0255309720003357,0.162569057933748
87,2.18219685637212,1.79018759132146,4.24747795729329,5.78981611754047,6.09778165087329,0.912039756156415,0.0204453256641443,0,0.0210726724766933,0.0552961475059406
88,1.99190837293942,1.65350358736878,3.03423151425818,6.03847182597751,6.46642853387027,0.901521902720891,0.0214746780057028,0.00131889326070354,0.0220644795355396,0.0483106240484453
89,1.81733619065836,1.7097198171614,3.25267554369378,5.20371402734931,5.70343902389974,0.678100435108577,0.0188473798980811,0.00144832753555149,0.0240639931990599,0.271147080129311
90,1.93705136715401,2.08556379539512,3.25439516965289,5.54294751425174,6.33002496839798,0.374484476470961,0.0309285337553028,0,0.0165380601038517,0.584919291957933
91,1.65100940395429,0.81402410721532,1.76317974580066,5.09294137446948,5.62610624069719,0.710435389202632,0.0228105498392532,0.0034362314514848,0.0290106218900488,0.239038285946654
92,1.55217599438169,1.08993262950597,2.45108954377351,4.58397260003415,5.18062930274856,0.781929968570541,0.0257101732520591,0.00193797798251231,0.0327497797560115,0.14597748449936
93,2.05329251387624,3.00924743579532,3.91374235986271,5.59614598180502,6.08038746046198,0.616282722322319,0.0312524351354222,0.00105749857729192,0.0206527463565825,0.326813216108518
94,1.66325379930344,1.00690830210876,1.3848544440888,5.60896049382312,6.15123115587107,0.841877064674491,0.0228221205638452,0.000836870094427961,0.0304117371713077,0.097768422028686
95,1.59578943613101,1.8770127107567,2.53360052589452,5.07469914183983,5.52314890455014,0.290267693915328,0.0508929768907392,0.00199344778935629,0.0287107042124013,0.626195424738082
96,1.78106302338288,1.00608052793795,1.83245916948264,5.43560876869782,5.95496432217097,0.833046416320361,0.0234893778596131,0.000670964417577002,0.0281203511805793,0.111538586457699
97,1.82655255376962,0.995128856006299,1.41871833548654,5.76222353279475,6.21452223850626,0.878700961306107,0.0233325734080527,0.00106588592691368,0.0272282704940924,0.0638603163757854
98,2.04244199932896,1.16777688173492,3.65451755549834,5.91584999679901,6.34434129537481,0.887294372858822,0.0506193539210129,0.00171105053995587,0.019254364542496,0.0474373243679681
99,2.0829398028508,0.973604017605355,1.91851965311756,6.05973190475279,6.40713742930746,0.90722291110521,0.0455501932138703,0.000597893336882513,0.0187880239558478,0.0201917059389325
100,2.00832992441716,1.70006456755134,3.56879450504397,5.96823167810408,6.38836868557125,0.894225926236009,0.0150700630917625,0,0.0221743308993927,0.0505571977928192
101,1.93317017481624,1.8602665768254,3.55545151929255,5.44852577339773,5.96585992411591,0.732178254042952,0.0291870970064533,0.00240788363814252,0.0263536182946365,0.200968041193765
102,1.82644502640252,1.27137176837974,1.90523435882606,5.84411664566775,6.33229442960894,0.855449644498215,0.0162535332858596,0.00223675377350801,0.0224975285417108,0.0989878439088382
103,1.98068073472208,1.65387447917916,3.67453579042973,5.65915139911416,6.04168730919987,0.886253841572292,0.0268678206653581,0.000943553715454477,0.0193078088533786,0.0618363920086925
104,1.7854402742538,0.958877285633436,1.50549474182688,5.58862632149223,5.9680894581213,0.879520795734857,0.0213366907471687,0,0.0248346118786827,0.0806740695157838
