Dataset,RSD.log10sd,RSD.log10mad,RSD.log10iqr,RSD.log10ci90,RSD.log10ci95,Model,sigmaH,DAF,AHU,Residuals
61,1.89258008550234,2.17335162865547,3.56557823644466,5.29664268796263,5.68142711807951,0.866649187298361,0.0233268923920327,0.00148399725487747,0.0237118212838612,0.0697180399876624
62,1.88834432728316,1.78269008580996,3.48990991441023,5.37894785355837,5.79387814478588,0.856799984683836,0.0219923545436078,0.00117182514982903,0.0248556962822173,0.0789522671650841
63,1.88562153623204,0.801178802893022,2.79069028164312,5.55081235404487,6.1144656855182,0.896925098945998,0.0160794144930743,0.00173924812377034,0.0231832675734364,0.0494374632149898
64,1.82584748041747,2.12108946217292,3.38976338074446,5.11677073692619,5.61437922260964,0.588707394312239,0.0372734086746058,0.00116735000395588,0.0177044992906734,0.348935568665609
65,1.4627918749822,0.558136304159186,0.876125929032785,4.73080391694478,5.3078545057898,0.767935643586909,0.0211065478577305,0.00219193492216515,0.0357389038182474,0.156757765620747
66,1.98672891160687,1.93692549620125,3.48953901522747,5.95296840472999,6.33445312722937,0.904764113514519,0.0172235616285405,0.000507216353730055,0.020260184887741,0.0445772782224597
67,2.91019178840436,1.64201640943178,6.01555485496621,7.35519642812766,7.64865105559206,0.929486610358153,0.0199639102444884,0.000210357882520199,0.00965888158866808,0.0257732792674674
68,2.92607652501933,1.4865379153761,6.04932669449587,7.30132391319224,7.66163038928037,0.947109842132035,0.021255821892454,0.000408454293379511,0.00954417162981685,0.0179063329526525
69,2.20963321330869,1.82360047241343,2.73994825414507,7.0370612564623,8.14227605460675,0.00304377134514284,0.0276161634029431,0.00342812636609539,0.0225696028523867,0.940784873771194
70,1.68321443214391,1.38979780585447,2.85419109962981,4.90850536472891,5.51973639853439,0.590141056623488,0.0368043520462853,0.00237323286545564,0.0291925493346652,0.337963191801695
71,1.61576979445986,1.06786957508114,2.30878882200122,4.96284892795618,5.53911524571281,0.803070140188131,0.0207369702682398,0.00367628487064715,0.0267085883663923,0.116559325027225
72,2.06784081341236,3.06852803512053,3.62336662422101,6.25598862640388,6.64810216813695,0.903002785307662,0.0169203363909759,0.000783621104101689,0.019166711581806,0.0378594127344904
73,2.15627595013408,3.08957461668187,4.03672301408785,6.24061835367716,6.62437628004657,0.892650331479818,0.0221671138284042,0.000383966457123941,0.0169765870040054,0.0591408424074595
74,1.54898441222547,0.823856974884216,1.10665066349326,5.55185279142788,6.00468160479899,0.838502435975743,0.0209540635807486,0.00145182049232469,0.032346340999326,0.0887823862130778
75,1.4255896034383,1.05485478775406,1.60471623486438,4.66269163372073,5.36223976040691,0.7945795561467,0.0787897562750356,0.00204087661155155,0.0433324274404755,0.0860856690684165
76,2.25894174324483,2.97954215541836,4.70505826931996,6.390742832224,6.7376864006267,0.932724624757704,0.0173539265899108,0.00123803229551613,0.0164287153965809,0.021958537780341
77,1.9153132931368,1.3845021579174,1.72531819022022,5.93533072826525,6.46984940745892,0.913516505099083,0.015722554588482,0.00207659361710582,0.0226341941968879,0.0371904079401006
78,1.61527035634151,0.838872707573177,1.12848270064664,5.64388430188279,6.04929686066724,0.868730926903021,0.0183884199074889,0.0023730818152075,0.0312741946179413,0.0591028379248079
79,1.71131756196377,1.48614166335296,2.76913088759189,5.34902014850269,5.88078264632928,0.817410086741904,0.0219079643762087,0.00136257954586285,0.0266428626939452,0.101238278640714
80,1.58583687623812,0.716129735031946,1.26486092602834,4.97887999006629,5.57953075170168,0.818440082814293,0.0228770940512688,0.00217735426755798,0.0342525677283274,0.0975564892516537
81,1.5671827058019,0.778218828836251,1.94011369991997,4.79904895912756,5.33498612369893,0.825473841590062,0.0263071362104225,0.00190787139903313,0.0293202677101101,0.107638121384337
82,1.72426984214443,0.880152504569902,1.23354284818962,5.65192597999441,6.08707452041399,0.869566465780694,0.0191088490684225,0.00146862177587146,0.0287639363398705,0.0724739961790747
83,1.61332190103871,0.639259716950359,0.908656256459018,5.24156122262296,5.72154374490284,0.774850948941845,0.023498755963833,0.00194015623091901,0.0287070038504575,0.158703856200463
84,1.77744985349391,1.27149474544271,1.92830811220743,5.87107394172396,6.82496596684251,0.00668016662667102,0.0575189824824599,6.46674547514621e-05,0.0218360957618995,0.909715470302763
85,1.03274193504678,0.848540480811606,1.29321498767083,3.32321016011663,3.91664617212829,0.446972487324413,0.135774420422619,0.00569991302499078,0.0692031260258049,0.322976148816578
86,2.81920735396,4.12999180098549,5.6458535852253,7.22097594069128,7.59858101223832,0.936216358674238,0.0170535657983069,0.000188100129337535,0.0103212297308627,0.0327512903475567
87,2.08107936780516,2.7964769692609,3.78050076145014,5.76230717936171,7.01805606068068,0.459527101133716,0.0316348193058297,0.000789387201090998,0.0188291376228909,0.4733409977146
88,1.6312354902439,0.704075372021717,1.60000354903438,4.99653286598927,5.59626237468135,0.776104551787237,0.0213840823701527,0.000564144328410308,0.0305555002934763,0.155172618012158
89,1.77017064317846,0.778716543086732,1.07489986507625,5.83522191220763,6.29780855932276,0.888631835497037,0.0171663898106538,0.000178895547115535,0.0278799769430935,0.0625992983678556
90,2.01468571070212,1.20845526721791,3.76932740630361,5.61198083192755,5.99498524661578,0.849675540224259,0.0230421265689439,0.00208988874860171,0.017681052030585,0.0938843695145096
91,1.61495609048065,1.00820439724695,1.63658246483384,5.37860894558621,5.90466031184926,0.739632540412118,0.019743156442081,0.000272128024161987,0.0325098857857369,0.191315506370729
92,2.15660832002021,1.43776810213268,4.13416349791317,5.82696978220697,6.21408437083225,0.896134286154171,0.0207174067119556,0.00110952929494201,0.0171471767565467,0.0535175168618847
93,1.95989636171166,1.53081882590137,2.06742371515003,6.090850743289,6.46930455023264,0.90234383374205,0.0176439601095679,0.00166151879355007,0.0210367306519126,0.0423112006500711
94,1.77664762219608,1.49778898244109,3.08743935216536,5.13715114940598,5.64846615889167,0.688442581143299,0.025159403607223,0.00317382681667501,0.0218420186202152,0.2372122938429
95,1.96385048248488,2.07158121854119,3.26155312721082,5.58268946422394,6.71716035247304,0.361717909909437,0.0273883037209087,5.85644205061413e-06,0.0268344927604249,0.572007256428214
96,1.60892107823215,0.757170808338503,1.24698069898896,5.11823904541406,5.69048182472045,0.658262927580427,0.0259216669503993,0.00168951727680546,0.0356005888246558,0.273248985152788
97,1.46571781574801,0.933877360265502,1.9769385934963,4.57147383059257,5.11738089421196,0.675341819615754,0.0276781832875318,0.00120341740008081,0.0449988259508189,0.229511879853078
98,2.02089872180054,2.95026530013741,3.90908170377679,5.5388375526738,6.01255844112209,0.695709035616084,0.0284092954440705,0.000155015703882406,0.0158783514391295,0.257929673132037
99,1.63055645698462,1.08317016791266,1.49813608920911,5.57836820107151,6.06069487762255,0.839397210458595,0.0161727091400269,0.001263812963889,0.0302667589717843,0.10648703040209
100,1.56054354837023,1.83618660942417,2.48100057168806,4.9573109953858,5.4553984553463,0.36821466696681,0.0344877211561236,0.00445001675254719,0.0386900032672817,0.545488344517324
101,1.7490380187519,1.0129834652025,1.57759217342073,5.55211527192263,5.96792207559245,0.819706200858238,0.0215327884702703,0.00187245216240563,0.0268445411374724,0.110245977582607
102,1.78896678535258,0.876963240884419,1.2020548321798,5.7477285994409,6.14959850946803,0.841788278881252,0.0204536798425638,0.00222817603333424,0.0240746624701224,0.0884162985729101
103,2.08520544168022,1.19622098581803,3.88632311093935,5.93263693074449,6.25518643440061,0.882199849807522,0.0443843277582646,0.0012657900620126,0.0196937073348619,0.0379780162558576
104,2.14724752920125,1.02025396711993,3.06312206342334,6.12666979856608,6.41967486194562,0.915641495596846,0.0376328535168585,0.000534274621048855,0.0176380747040661,0.016966130096873
105,1.94289392553167,1.65037355812554,3.15293322144989,5.90615734410525,6.24043860137076,0.903061417057285,0.0166963764467532,0.00137030168617978,0.0207646984236669,0.0521974257240979
106,1.86297530328703,1.60205048489741,3.4172805309893,5.33673288545583,5.84204708838895,0.733342515029561,0.0278177718145865,0.0013257249347425,0.0234456483207852,0.190647176815846
107,1.82690006243923,1.22408667878087,1.6787603024853,5.83790244633805,6.34364481412057,0.786912153581447,0.0172847422077208,0.00235386272531885,0.0292448514477628,0.151915231810127
108,1.92159522051159,1.38167134328475,3.53185515102812,5.64567757311887,6.02708195694767,0.867990973167899,0.0234791150757772,0.00153816230433774,0.0214959203367304,0.0726997331736672
109,1.74568868335816,0.922959909669248,1.30858963084475,5.5730043815835,5.95764373594944,0.8697731063116,0.0229137789057037,0.00126068756310326,0.0265130361731186,0.0712046734998591
110,1.79296744451815,0.950112324348832,1.4208727593635,5.595994748241,5.99664818057489,0.870781478315306,0.0177251198119016,0.00201302898209318,0.0245122939909903,0.0696571989999684
111,2.34402037373218,3.30993267085547,4.85234518635253,6.46137572344261,6.86758694934482,0.90891159138447,0.0156597044885223,0.000973953256524727,0.0163106314076237,0.0511737823395847
112,2.33442894011717,3.19258786112377,4.80986047322134,6.45296532689757,6.82955218881557,0.906354800412977,0.0141601994968671,0.00109631425319207,0.0186787278991055,0.0521592709864065
113,2.30151881591141,1.93160729461644,3.14963836321796,7.02596190210613,8.96750866441689,0.0889969153887872,0.0347808591701965,0.00063538028193271,0.0183212113427657,0.852569785314738
