"Index","indivrisk","Incidence","X5.","X50.","X95."
24,1e-06,0.5,0.000331247,0.005586689,103.2027024
24,1e-05,0.5,0.003198954,0.048573364,128.2958373
24,1e-04,0.5,0.029844689,0.42945207,157.5859305
24,0.001,0.5,0.243080826,3.476766316,204.4255443
24,0.01,0.5,1.583118735,22.90635186,278.2970601
24,0.1,0.5,6.994138529,113.3130708,613.8451311
25,1e-06,0.5,9.79e-05,0.002089826,1.799458905
25,1e-05,0.5,0.00097609,0.020045272,2.052379171
25,1e-04,0.5,0.009444125,0.146855206,2.443660254
25,0.001,0.5,0.075527858,0.527701849,3.028247714
25,0.01,0.5,0.310122418,1.152367104,4.194513998
25,0.1,0.5,0.636060439,1.99928848,6.391780598
26,1e-06,0.5,7.35e-05,0.001942326,1.757899447
26,1e-05,0.5,0.000734183,0.018582542,2.004449019
26,1e-04,0.5,0.007202797,0.13521608,2.322179844
26,0.001,0.5,0.062261677,0.497148444,2.933268406
26,0.01,0.5,0.288467978,1.114084875,4.035519885
26,0.1,0.5,0.633815856,1.981221511,6.179704707
27,1e-06,0.5,1.4e-06,6.7e-06,0.467296085
27,1e-05,0.5,1.39e-05,6.64e-05,0.562226741
27,1e-04,0.5,0.00013765,0.000655225,0.681914545
27,0.001,0.5,0.001329532,0.00648862,0.847451728
27,0.01,0.5,0.012780969,0.061663383,1.138420245
27,0.1,0.5,0.112890384,0.504026663,2.433145586
28,1e-06,0.5,1.48e-06,6.38e-06,0.426323949
28,1e-05,0.5,1.47e-05,6.36e-05,0.556812987
28,1e-04,0.5,0.000145806,0.000632298,0.721932934
28,0.001,0.5,0.001456212,0.006280818,0.987228992
28,0.01,0.5,0.014386871,0.061400469,1.391103698
28,0.1,0.5,0.139193123,0.546728833,2.609847422
29,1e-06,0.5,8.78e-07,3.75e-06,0.347713474
29,1e-05,0.5,8.77e-06,3.74e-05,0.431056243
29,1e-04,0.5,8.71e-05,0.000372819,0.530654834
29,0.001,0.5,0.000864078,0.003697176,0.670407581
